emp_no,first_name,last_name,birth_date,from_date,to_date,title
212131,Debatosh,Rajala,1965-01-21,1994-01-19,1994-04-22,Staff
212074,Tomokazu,Byoun,1965-01-11,1996-07-30,2002-04-08,Engineer
211569,Zhonghua,Snyers,1965-02-01,1989-04-23,1999-07-18,Staff
210610,Arco,Crouzet,1965-01-23,1994-09-03,2000-09-30,Assistant Engineer
210529,Adam,Besancenot,1965-01-29,1990-09-27,1995-02-04,Senior Staff
209945,Roded,Veevers,1965-01-27,1990-10-23,1996-01-08,Engineer
209681,Tianruo,Bratten,1965-01-20,1996-07-28,1997-10-10,Senior Staff
209456,Adhemar,Leonhardt,1965-01-19,1999-07-27,1999-12-30,Engineer
208639,Larisa,Lukaszewicz,1965-01-27,1989-10-10,1996-10-30,Staff
206865,Vasilii,Cochrane,1965-01-28,1991-09-13,2001-04-23,Senior Engineer
206372,Temple,Joslin,1965-01-17,1995-11-14,1996-04-24,Engineer
205660,Kien,Barreiro,1965-01-27,1997-08-25,2000-10-24,Staff
205362,Masasuke,Makinen,1965-01-25,1992-07-02,1997-06-01,Staff
204470,Hein,Lichtner,1965-01-22,1995-04-03,1998-05-02,Staff
204117,Jessie,Nooteboom,1965-01-10,1999-08-13,2000-12-13,Staff
203697,Claude,Kemmerer,1965-01-27,1994-01-16,2001-05-07,Engineer
202581,Dharmaraja,Merlo,1965-01-19,1987-06-05,1990-12-16,Staff
202031,Annemarie,Peternell,1965-01-23,1994-03-13,1997-06-05,Engineer
201180,Odinaldo,Bridgland,1965-01-15,1989-06-09,1995-06-16,Assistant Engineer
200312,Akemi,Fujisaki,1965-01-27,1998-06-25,2001-11-13,Senior Engineer
200176,Shahab,Luit,1965-01-31,1985-11-20,1997-02-05,Staff
200052,Slavian,Cincotta,1965-01-27,1992-05-30,1997-07-07,Senior Engineer
109652,Huan,Perko,1965-01-25,1988-07-31,1999-03-12,Senior Staff
109611,Jamaludin,Lalonde,1965-01-08,1994-07-09,1998-08-24,Staff
109553,Xiaobin,DuBourdieux,1965-01-19,1985-09-16,1988-05-11,Staff
109547,Chenye,Zizka,1965-01-04,1986-02-22,2002-04-21,Senior Staff
109211,Gor,Delgrande,1965-01-11,1995-11-07,2002-06-18,Engineer
106958,Horward,Begiun,1965-01-24,1985-11-06,2002-05-22,Senior Engineer
106695,Lijie,Garrabrants,1965-01-31,1985-10-02,1988-10-26,Staff
106514,Otilia,Speek,1965-01-04,1988-07-30,1992-11-07,Senior Engineer
105936,Vidar,Thibadeau,1965-01-23,1995-03-02,1999-09-15,Staff
105589,Yechiam,Egerstedt,1965-01-28,1995-12-31,1999-07-18,Engineer
105356,Diederik,Matzov,1965-01-29,1988-05-12,1995-03-08,Senior Engineer
105191,Jaber,Kleiser,1965-01-01,1986-12-13,1987-09-22,Engineer
104962,Zongyan,Auyong,1965-01-04,1987-11-02,1991-12-22,Engineer
103172,Doowon,Highland,1965-01-05,1989-12-28,1995-11-23,Senior Engineer
103166,Waiman,Dalton,1965-01-09,1990-05-25,2002-02-09,Senior Engineer
102620,Adin,Templeman,1965-01-03,1997-12-10,1999-08-12,Engineer
101063,Nectarios,Munos,1965-01-08,1994-08-31,1995-08-14,Senior Engineer
100877,Kazuhide,Harnett,1965-01-13,1995-02-02,1999-02-13,Engineer
98514,Giao,Junot,1965-01-08,1999-07-01,2002-02-25,Staff
98306,Ziya,Kadhim,1965-01-16,1995-11-02,1999-06-24,Senior Engineer
97697,Moie,Karunanithi,1965-01-10,1990-02-07,1994-11-02,Engineer
97092,Anwar,Riexinger,1965-01-22,1991-12-31,2000-01-09,Engineer
96100,Pranay,Rebaine,1965-01-11,1998-02-01,2000-12-31,Senior Engineer
95692,Abdulah,Hofstetter,1965-01-20,2000-05-24,2000-07-24,Engineer
94787,Shigenori,Stanfel,1965-01-22,1993-04-25,1999-12-11,Staff
94690,Kazuyasu,Sridhar,1965-01-30,1999-12-22,2001-12-03,Staff
94442,Bilhanan,Marrakchi,1965-01-28,1998-02-03,2000-10-12,Staff
94416,Aran,Cesareni,1965-01-01,1990-02-10,2001-11-20,Senior Staff
94131,Bernardo,Vasanthakumar,1965-01-29,1997-05-01,1997-07-20,Staff
94045,Gift,Brender,1965-01-19,1996-10-31,2000-01-02,Senior Engineer
93794,Rimli,Werthner,1965-01-23,1994-05-27,2000-12-30,Senior Engineer
93549,Arie,Coullard,1965-02-01,1991-04-15,2000-03-28,Senior Staff
92443,Girolamo,Bellmore,1965-01-01,1996-12-04,2000-04-27,Senior Staff
92438,Aria,Kilgore,1965-01-04,1989-02-27,1992-04-11,Engineer
91973,Jianwen,Jakobus,1965-01-25,1998-08-24,2001-02-12,Senior Engineer
91934,Nikolaus,Swen,1965-01-03,2000-01-28,2002-07-03,Engineer
91462,Siamak,Janocha,1965-01-11,1997-08-26,1998-03-21,Engineer
91308,Remmert,Plumb,1965-01-23,1986-06-14,1995-12-08,Senior Engineer
90366,Magy,Eiron,1965-01-26,1998-08-03,2002-03-03,Senior Staff
90116,Brigham,Luiz,1965-01-11,1990-04-10,1995-06-10,Assistant Engineer
89487,Kazuhira,Seiwald,1965-01-29,1995-03-25,1999-03-24,Engineer
88357,Manohar,Karcich,1965-01-05,1998-08-07,2000-08-22,Staff
87458,Mikhail,Gimbel,1965-01-26,1993-12-22,1999-04-29,Senior Staff
86324,Maia,Berstel,1965-01-14,1997-09-29,2002-01-13,Senior Engineer
86213,Kristine,Clemencon,1965-01-28,1990-04-22,1993-06-01,Staff
85288,Younwoo,Luders,1965-01-06,1995-03-31,1998-12-08,Engineer
84494,Janalee,Loncour,1965-01-02,1986-04-12,1987-09-04,Staff
84256,Denny,Cheshire,1965-01-25,1989-11-23,1992-08-08,Staff
84163,Zejun,Roisin,1965-01-11,1997-05-26,2002-01-16,Senior Staff
83922,Shunichi,Solovay,1965-01-10,1986-06-07,1998-11-18,Engineer
83714,Ohad,Kilgore,1965-01-27,1990-07-01,2000-10-10,Engineer
82919,Shigeu,Claffy,1965-01-05,1998-02-03,1998-12-19,Engineer
81619,Gen,Aloisi,1965-01-12,1985-03-12,2002-07-25,Senior Engineer
81545,Larisa,Kornyak,1965-01-13,1996-03-10,2000-02-07,Technique Leader
81162,Marco,Klerer,1965-01-28,1995-02-28,2001-02-02,Engineer
80745,Rimli,Huttel,1965-01-09,1989-12-14,1996-11-29,Staff
80656,Kwan,Gide,1965-01-09,1998-06-24,2001-07-01,Engineer
79722,Make,Remmers,1965-01-17,1997-08-07,1998-08-08,Staff
79640,Marl,Litzkow,1965-01-26,1991-10-12,1993-10-22,Staff
79239,Denny,Griswold,1965-01-07,1989-05-18,2001-11-19,Senior Engineer
79190,Tsuneo,Servi,1965-01-18,1999-06-30,2001-06-02,Staff
78171,Teiji,Hinsberger,1965-01-12,1997-01-25,2002-05-18,Senior Staff
78106,Ashish,Ratnaker,1965-01-09,1986-11-10,2000-01-17,Senior Staff
78086,Fabrizio,Anick,1965-01-20,1997-12-16,1998-05-02,Staff
77157,Tesuro,Nicolson,1965-01-14,1996-06-01,1999-10-20,Staff
76847,Mariusz,Weiland,1965-01-20,1989-08-16,1994-11-09,Senior Engineer
76598,Keung,Ferriere,1965-01-24,1991-05-13,1995-10-08,Engineer
76417,Parviz,Duclos,1965-01-31,1989-12-27,1993-12-31,Senior Engineer
76178,Chiradeep,Meriste,1965-01-19,1988-05-23,1997-06-25,Senior Engineer
75888,Marsal,Otillio,1965-01-31,1994-01-23,1999-09-16,Staff
75760,Jahangir,Radhakrishnan,1965-01-21,1991-04-19,1993-12-29,Technique Leader
75420,Clyde,Vrecion,1965-01-09,1997-07-03,2000-09-14,Engineer
75113,Zissis,Birch,1965-01-22,1994-08-19,2000-07-15,Engineer
74598,Kolar,Garigliano,1965-01-07,1992-05-10,1999-03-07,Senior Staff
74237,Jaihie,Vilarrasa,1965-01-29,1992-03-03,2001-06-20,Engineer
73903,Bartek,Cappello,1965-01-29,1988-07-28,1993-01-02,Engineer
73794,Aiichiro,Castellani,1965-01-26,1985-08-26,1987-08-19,Engineer
73743,Anneke,Bernardeschi,1965-01-15,1999-11-01,2000-10-15,Engineer
71334,Cathie,Peck,1965-01-15,1993-04-12,2001-03-04,Engineer
70780,Behnaam,Angelov,1965-01-27,1995-01-29,1999-07-20,Assistant Engineer
69936,Lalit,Unni,1965-01-23,1998-12-06,1999-01-31,Assistant Engineer
69219,Shuky,Redmiles,1965-01-09,1994-07-06,1994-11-19,Senior Staff
68263,Fumiko,Bodoff,1965-01-16,1991-12-19,1993-07-11,Staff
68168,Marl,Thiria,1965-01-14,1987-03-18,1996-12-31,Senior Staff
68022,Kristinn,Pearson,1965-01-12,1995-05-07,1999-06-26,Staff
65013,Chandrasekaran,Peral,1965-01-03,1985-02-28,2001-12-14,Senior Engineer
64984,Eldridge,Eldridge,1965-01-06,1986-06-24,1994-08-04,Engineer
64431,Faiza,Zongker,1965-01-25,1995-12-10,2001-12-03,Technique Leader
63631,Falguni,Cherinka,1965-01-22,1986-09-08,1987-10-15,Senior Engineer
63444,Padma,Peres,1965-01-19,1985-02-20,1994-12-22,Senior Staff
62384,Akeel,Litzler,1965-01-02,1999-10-23,2001-12-21,Senior Staff
62167,Mihalis,Haldar,1965-01-25,1998-05-11,2001-02-03,Senior Engineer
61983,Sastry,Reeken,1965-01-18,1990-07-24,1992-05-17,Staff
61680,Hauke,Templeman,1965-01-24,1991-10-23,1999-02-21,Staff
61377,Dannz,Ohori,1965-01-01,1988-01-18,1997-04-13,Senior Staff
61253,Cheong,Uhrik,1965-01-09,1996-06-04,2002-05-09,Senior Engineer
60959,Tetsushi,Sridhar,1965-01-09,1989-01-12,1989-10-19,Staff
60238,Erzsebet,Claffy,1965-01-23,1997-03-03,1999-02-19,Staff
59661,Saeko,Baik,1965-01-09,1997-10-11,1999-08-15,Staff
59329,Zissis,Bazzichi,1965-01-15,1987-02-07,1991-01-25,Staff
58601,Sungwon,Asser,1965-01-06,2000-01-27,2000-04-01,Staff
58497,Yechiam,Cairo,1965-01-22,1996-07-12,2000-10-21,Senior Staff
58217,Kiyotoshi,Kusalik,1965-01-30,1998-11-19,1999-06-26,Engineer
57982,Paloma,Benzaken,1965-01-29,1989-10-17,1998-09-11,Senior Staff
56847,Menkae,Chinin,1965-01-14,1989-08-19,1998-08-27,Senior Engineer
56829,Nagui,Gruenwald,1965-01-09,1995-12-24,1997-06-14,Engineer
55670,Ulf,Ranft,1965-01-30,1990-03-25,1996-02-26,Senior Staff
55121,Toshiko,Alblas,1965-01-12,1995-07-20,1996-07-23,Engineer
54795,Sumant,Nergos,1965-01-29,1993-05-07,1994-03-02,Senior Staff
53891,Olivera,Pargaonkar,1965-01-23,1989-03-13,1992-03-29,Staff
53746,Manu,Erva,1965-01-21,1989-03-17,1993-04-29,Staff
53431,Sham,Vasanthakumar,1965-01-12,1985-10-24,1993-05-24,Senior Staff
53088,Mechthild,Lamma,1965-01-25,1986-05-19,1993-06-03,Engineer
52956,Khalil,Picci,1965-01-31,1987-03-21,1998-11-24,Senior Engineer
52599,Augustine,Mungall,1965-01-25,1987-08-31,1994-01-13,Senior Engineer
52590,Jouni,Munoz,1965-01-21,1995-11-26,1996-10-07,Staff
52040,Phule,Heijenga,1965-01-14,1992-02-22,1996-12-08,Staff
51868,Remmert,Munke,1965-01-19,1991-09-22,1998-05-19,Assistant Engineer
51502,Slavian,Munawer,1965-01-29,1999-08-06,2001-09-04,Senior Staff
51118,Fumiko,Mundy,1965-01-17,1998-09-22,2001-08-20,Staff
50831,Marie,Khalid,1965-01-06,1990-10-27,1996-06-11,Senior Engineer
50587,Slavian,Yemenis,1965-01-26,1993-08-06,1994-11-18,Technique Leader
50360,Sumali,Kushner,1965-01-18,1999-10-30,2001-10-29,Engineer
49010,Kazuhisa,Benantar,1965-01-16,1989-10-23,1990-03-30,Senior Staff
46531,Yaghout,Peng,1965-01-30,1995-10-02,1997-10-07,Assistant Engineer
46222,Mrinalini,Strooper,1965-01-20,1990-03-05,1992-09-04,Staff
46015,Weiye,Masand,1965-01-19,1995-07-24,2002-01-29,Staff
45590,Masoud,Genin,1965-01-21,1991-02-16,1994-06-01,Technique Leader
43358,Ottavia,Mitsuhashi,1965-01-07,1989-08-18,1996-07-13,Staff
41552,Uno,Heyers,1965-01-03,1990-09-28,2001-11-29,Senior Engineer
41518,Keung,Schapiro,1965-01-11,1998-04-19,2001-02-08,Senior Engineer
41137,Bikash,Buchter,1965-01-20,1987-11-23,1996-01-08,Senior Staff
40785,Youpyo,Castellani,1965-01-31,1998-09-04,1999-10-14,Engineer
40648,Wayne,Erev,1965-01-23,1990-09-19,1993-02-02,Staff
40301,Spyrose,Felder,1965-01-20,1996-06-16,1997-10-20,Senior Engineer
39268,Constantijn,Awdeh,1965-01-10,1987-10-20,1990-06-10,Engineer
38947,Shuichi,Ruemmler,1965-01-25,1991-03-08,1998-04-08,Senior Staff
38017,Ulf,Himler,1965-01-24,1995-08-05,1997-11-28,Staff
37719,Nakhoon,Buescher,1965-01-31,1988-06-12,1999-01-17,Engineer
37592,Berni,Stranks,1965-02-01,1985-11-05,1992-09-19,Engineer
35642,Ashish,Talmon,1965-01-30,1995-06-13,1999-02-28,Senior Engineer
35441,Chandrasekaran,Peek,1965-01-31,1988-02-07,1990-09-17,Senior Engineer
34780,Moni,Kohling,1965-01-16,1994-07-21,2001-09-18,Staff
34533,Erzsebet,Shigei,1965-01-10,1991-01-21,1995-01-16,Senior Engineer
33722,Anwar,Collette,1965-01-15,1994-03-22,2001-02-03,Senior Engineer
33606,Clyde,Swift,1965-01-02,1994-11-14,1996-12-29,Staff
33293,Adamantios,Vanwelkenhuysen,1965-02-01,1994-01-11,2000-08-18,Assistant Engineer
32714,Radoslaw,Maliniak,1965-01-16,1997-11-17,2001-09-18,Staff
32622,Piyush,Paciorek,1965-01-23,1991-07-18,1991-08-07,Staff
31909,Murthy,Peek,1965-01-10,1994-07-19,2000-10-30,Engineer
31629,Toong,Veldwijk,1965-01-24,1986-07-28,1996-04-26,Engineer
31599,Qingxiang,Gewali,1965-01-05,1997-09-22,1998-12-01,Engineer
31170,Tuval,Waleschkowski,1965-01-08,1987-10-16,1988-12-14,Senior Staff
30938,Yakkov,Samarati,1965-01-06,1995-05-23,1997-10-10,Senior Staff
30552,Yishai,Terlouw,1965-01-18,1986-09-19,1999-01-07,Senior Engineer
29782,Jouko,Hellwagner,1965-01-29,1994-12-21,2000-10-23,Senior Engineer
28222,Mayuko,Vitiello,1965-01-11,1993-12-22,1995-10-16,Technique Leader
27970,KayLiang,Miyakawa,1965-01-12,1995-11-22,2000-02-07,Technique Leader
27150,Chenyi,Plump,1965-01-06,1992-06-23,1995-05-22,Staff
26617,Berto,Bruckman,1965-01-06,1991-11-23,1994-03-27,Engineer
26503,Shietung,Billingsley,1965-01-27,1998-11-07,1998-12-02,Senior Staff
26476,Bilhanan,Karcich,1965-01-19,1996-04-09,1997-02-04,Staff
24421,Dannz,Grospietsch,1965-01-10,1990-09-01,2000-10-12,Senior Engineer
24189,Abdelaziz,Atrawala,1965-01-16,1993-03-28,1997-02-23,Staff
22502,Rutger,Binkley,1965-01-29,1989-10-16,2001-11-02,Senior Engineer
22451,Jasminko,Bresenham,1965-01-27,1987-12-16,1994-01-19,Staff
22185,Huai,Birch,1965-01-29,1996-03-26,2002-06-12,Assistant Engineer
22027,Sangeeta,Georg,1965-01-27,1992-07-31,1998-03-14,Staff
21546,Yongmin,Lanteri,1965-01-01,1988-02-16,2002-03-19,Senior Staff
21534,Alagu,Luders,1965-01-12,1996-04-03,1997-12-14,Staff
20720,Heejo,Brodie,1965-01-17,1996-12-27,1997-05-17,Senior Staff
20712,Valeri,Escriba,1965-01-26,1994-04-09,1998-05-02,Engineer
18187,Denis,Falster,1965-01-08,1998-12-21,1999-06-03,Staff
17799,Gro,Gini,1965-01-28,1997-09-28,2001-07-11,Engineer
17618,Teiji,Picco,1965-01-12,1992-09-17,1999-11-08,Staff
17369,Yaghout,Kenevan,1965-01-31,1993-01-28,2000-09-15,Senior Engineer
15376,Geoff,Soicher,1965-01-10,1988-08-14,2001-03-01,Staff
14551,Richard,Sinitsyn,1965-01-18,1993-06-27,1993-09-16,Senior Staff
13957,Angus,Chelton,1965-01-10,1986-04-18,1987-02-02,Senior Engineer
11432,Yongmao,Zwicker,1965-01-15,1987-10-19,1997-09-13,Engineer
11157,Mario,Cochrane,1965-02-01,1985-03-30,1991-02-06,Engineer
11126,Hideo,Daescu,1965-01-08,1992-02-25,2002-04-04,Staff
11015,Jeanna,Riesenhuber,1965-01-24,1998-03-14,2000-02-22,Senior Staff
10663,Teunis,Noriega,1965-01-09,1993-01-23,1999-02-12,Technique Leader
10480,Make,Baba,1965-01-25,1988-05-18,1989-06-03,Staff
10410,Takahito,Gecsei,1965-01-19,1993-10-16,1996-07-21,Staff
